ts_code,ann_date,nav_date,unit_nav,accum_nav,accum_div,net_asset,adj_nav,update_flag
511010.SH,20130727,20130726,99.194,0.995,,,99.4697,0
511010.SH,20130730,20130729,99.171,0.995,,,99.4466,0
511010.SH,20130731,20130730,99.216,0.995,,,99.4917,0
511010.SH,20130801,20130731,99.312,0.996,,,99.588,0
511010.SH,20130802,20130801,99.434,0.997,,,99.7103,0
511010.SH,20130803,20130802,99.458,0.997,,,99.7344,0
511010.SH,20130806,20130805,99.412,0.997,,,99.6883,0
511010.SH,20130807,20130806,99.369,0.996,,,99.6451,0
511010.SH,20130808,20130807,99.166,0.994,,,99.4416,0
511010.SH,20130809,20130808,98.91,0.992,,,99.1849,0
511010.SH,20130810,20130809,98.851,0.991,,,99.1257,0
511010.SH,20130813,20130812,98.766,0.99,,,99.0405,0
511010.SH,20130814,20130813,98.478,0.988,,,98.7517,0
511010.SH,20130815,20130814,98.191,0.985,,,98.4639,0
511010.SH,20130816,20130815,98.154,0.984,,,98.4268,0
511010.SH,20130817,20130816,98.214,0.985,,,98.4869,0
511010.SH,20130820,20130819,98.085,0.984,,,98.3576,0
511010.SH,20130821,20130820,97.82,0.981,,,98.0918,0
511010.SH,20130822,20130821,97.985,0.983,,,98.2573,0
511010.SH,20130823,20130822,97.971,0.983,,,98.2433,0
511010.SH,20130824,20130823,98.196,0.985,,,98.4689,0
511010.SH,20130827,20130826,98.352,0.986,,,98.6253,0
511010.SH,20130828,20130827,98.339,0.986,,,98.6123,0
511010.SH,20130829,20130828,98.099,0.984,,,98.3716,0
511010.SH,20130830,20130829,98.072,0.984,,,98.3445,0
511010.SH,20130831,20130830,98.097,0.984,,,98.3696,0
511010.SH,20130903,20130902,98.105,0.984,,,98.3776,0
511010.SH,20130904,20130903,98.088,0.984,,,98.3606,0
511010.SH,20130905,20130904,97.96,0.982,,,98.2322,0
511010.SH,20130906,20130905,98.02,0.983,,,98.2924,0
511010.SH,20130907,20130906,98.055,0.983,,,98.3275,0
511010.SH,20130910,20130909,97.942,0.982,,,98.2142,0
511010.SH,20130911,20130910,97.82,0.981,,,98.0918,0
511010.SH,20130912,20130911,97.58,0.979,,,97.8512,0
511010.SH,20130913,20130912,97.616,0.979,,,97.8873,0
511010.SH,20130914,20130913,97.657,0.979,,,97.9284,0
511010.SH,20130917,20130916,97.706,0.98,,,97.9775,0
511010.SH,20130918,20130917,97.945,0.982,,,98.2172,0
511010.SH,20130919,20130918,97.955,0.982,,,98.2272,0
511010.SH,20130924,20130923,98.212,0.985,,,98.4849,0
511010.SH,20130925,20130924,98.226,0.985,,,98.499,0
511010.SH,20130926,20130925,98.324,0.986,,,98.5972,0
511010.SH,20130927,20130926,98.474,0.988,,,98.7477,0
511010.SH,20130928,20130927,98.429,0.987,,,98.7025,0
511010.SH,20131001,20130930,98.451,0.987,,1359243348.77,98.7246,0
511010.SH,20131009,20131008,98.579,0.989,,,98.853,0
511010.SH,20131010,20131009,98.501,0.988,,,98.7747,0
511010.SH,20131011,20131010,98.538,0.988,,,98.8118,0
511010.SH,20131012,20131011,98.478,0.988,,,98.7517,0
511010.SH,20131015,20131014,98.37,0.987,,,98.6434,0
511010.SH,20131016,20131015,98.318,0.986,,,98.5912,0
511010.SH,20131017,20131016,98.285,0.986,,,98.5581,0
511010.SH,20131018,20131017,98.254,0.985,,,98.527,0
511010.SH,20131019,20131018,98.228,0.985,,,98.501,0
511010.SH,20131022,20131021,98.181,0.985,,,98.4538,0
511010.SH,20131023,20131022,98.159,0.984,,,98.4318,0
511010.SH,20131024,20131023,98.105,0.984,,,98.3776,0
511010.SH,20131025,20131024,97.974,0.983,,,98.2463,0
511010.SH,20131026,20131025,97.921,0.982,,,98.1931,0
511010.SH,20131029,20131028,97.905,0.982,,,98.1771,0
511010.SH,20131030,20131029,97.813,0.981,,,98.0848,0
511010.SH,20131031,20131030,97.793,0.981,,,98.0648,0
511010.SH,20131101,20131031,97.897,0.982,,,98.1691,0
511010.SH,20131102,20131101,98.107,0.984,,,98.3796,0
511010.SH,20131105,20131104,97.999,0.983,,,98.2713,0
511010.SH,20131106,20131105,97.878,0.982,,,98.15,0
511010.SH,20131107,20131106,97.607,0.979,,,97.8782,0
511010.SH,20131108,20131107,97.341,0.976,,,97.6115,0
511010.SH,20131109,20131108,97.141,0.974,,,97.411,0
511010.SH,20131112,20131111,96.634,0.969,,,96.9025,0
511010.SH,20131113,20131112,96.768,0.97,,,97.0369,0
511010.SH,20131114,20131113,96.446,0.967,,,96.714,0
511010.SH,20131115,20131114,96.442,0.967,,,96.71,0
511010.SH,20131116,20131115,96.074,0.964,,,96.341,0
511010.SH,20131119,20131118,95.992,0.963,,,96.2588,0
511010.SH,20131120,20131119,95.916,0.962,,,96.1826,0
511010.SH,20131121,20131120,95.8,0.961,,,96.0662,0
511010.SH,20131122,20131121,95.956,0.962,,,96.2227,0
511010.SH,20131123,20131122,96.197,0.965,,,96.4643,0
511010.SH,20131126,20131125,96.113,0.964,,,96.3801,0
511010.SH,20131127,20131126,96.166,0.964,,,96.4332,0
511010.SH,20131128,20131127,96.533,0.968,,,96.8013,0
511010.SH,20131129,20131128,96.872,0.972,,,97.1412,0
511010.SH,20131130,20131129,97.015,0.973,,,97.2846,0
511010.SH,20131203,20131202,96.58,0.969,,,96.8484,0
511010.SH,20131204,20131203,96.754,0.97,,,97.0229,0
511010.SH,20131205,20131204,96.778,0.971,,,97.0469,0
511010.SH,20131206,20131205,96.594,0.969,,,96.8624,0
511010.SH,20131207,20131206,96.496,0.968,,,96.7642,0
511010.SH,20131210,20131209,96.33,0.966,,,96.5977,0
511010.SH,20131211,20131210,96.083,0.964,,,96.35,0
511010.SH,20131212,20131211,95.962,0.962,,,96.2287,0
511010.SH,20131213,20131212,96.14,0.964,,,96.4072,0
511010.SH,20131214,20131213,96.425,0.967,,,96.693,0
511010.SH,20131217,20131216,96.333,0.966,,,96.6007,0
511010.SH,20131218,20131217,96.268,0.965,,,96.5355,0
511010.SH,20131219,20131218,96.174,0.965,,,96.4413,0
511010.SH,20131220,20131219,96.068,0.963,,,96.335,0
511010.SH,20131221,20131220,96.117,0.964,,,96.3841,0
511010.SH,20131224,20131223,96.16,0.964,,,96.4272,0
511010.SH,20131225,20131224,96.32,0.966,,,96.5877,0
511010.SH,20131226,20131225,96.308,0.966,,,96.5756,0
511010.SH,20131227,20131226,96.355,0.966,,,96.6228,0
511010.SH,20131228,20131227,96.297,0.966,,,96.5646,0
511010.SH,20131231,20131230,96.302,0.966,,,96.5696,0
511010.SH,20140101,20131231,96.325,0.966,,891612733.94,96.5927,0
511010.SH,20140103,20140102,96.255,0.965,,,96.5225,0
511010.SH,20140104,20140103,96.194,0.965,,,96.4613,0
511010.SH,20140107,20140106,96.055,0.963,,,96.3219,0
511010.SH,20140108,20140107,96.199,0.965,,,96.4663,0
511010.SH,20140109,20140108,96.356,0.966,,,96.6238,0
511010.SH,20140110,20140109,96.468,0.967,,,96.7361,0
511010.SH,20140111,20140110,96.491,0.968,,,96.7591,0
511010.SH,20140114,20140113,96.489,0.968,,,96.7571,0
511010.SH,20140115,20140114,96.509,0.968,,,96.7772,0
511010.SH,20140116,20140115,96.724,0.97,,,96.9928,0
511010.SH,20140117,20140116,96.677,0.97,,,96.9457,0
511010.SH,20140118,20140117,96.634,0.969,,,96.9025,0
511010.SH,20140121,20140120,96.677,0.97,,,96.9457,0
511010.SH,20140122,20140121,97.003,0.973,,,97.2726,0
511010.SH,20140123,20140122,97.167,0.974,,,97.437,0
511010.SH,20140124,20140123,97.111,0.974,,,97.3809,0
511010.SH,20140125,20140124,97.099,0.974,,,97.3688,0
511010.SH,20140128,20140127,97.438,0.977,,,97.7088,0
511010.SH,20140129,20140128,97.352,0.976,,,97.6225,0
511010.SH,20140130,20140129,97.369,0.976,,,97.6396,0
511010.SH,20140131,20140130,97.392,0.977,,,97.6627,0
511010.SH,20140208,20140207,97.611,0.979,,,97.8823,0
511010.SH,20140211,20140210,97.649,0.979,,,97.9204,0
511010.SH,20140212,20140211,97.695,0.98,,,97.9665,0
511010.SH,20140213,20140212,97.718,0.98,,,97.9896,0
511010.SH,20140214,20140213,97.756,0.98,,,98.0277,0
511010.SH,20140215,20140214,97.779,0.981,,,98.0507,0
511010.SH,20140218,20140217,97.709,0.98,,,97.9805,0
511010.SH,20140219,20140218,97.62,0.979,,,97.8913,0
511010.SH,20140220,20140219,97.586,0.979,,,97.8572,0
511010.SH,20140221,20140220,97.583,0.979,,,97.8542,0
511010.SH,20140222,20140221,97.643,0.979,,,97.9143,0
511010.SH,20140225,20140224,97.821,0.981,,,98.0928,0
511010.SH,20140226,20140225,98.248,0.985,,,98.521,0
511010.SH,20140227,20140226,98.092,0.984,,,98.3646,0
511010.SH,20140228,20140227,98.525,0.988,,,98.7988,0
511010.SH,20140301,20140228,98.412,0.987,,,98.6855,0
511010.SH,20140304,20140303,98.35,0.986,,,98.6233,0
511010.SH,20140305,20140304,97.965,0.982,,,98.2372,0
511010.SH,20140306,20140305,97.951,0.982,,,98.2232,0
511010.SH,20140307,20140306,98.002,0.983,,,98.2743,0
511010.SH,20140308,20140307,97.996,0.983,,,98.2683,0
511010.SH,20140311,20140310,98.089,0.984,,,98.3616,0
511010.SH,20140312,20140311,98.081,0.984,,,98.3536,0
511010.SH,20140313,20140312,98.085,0.984,,,98.3576,0
511010.SH,20140314,20140313,98.182,0.985,,,98.4548,0
511010.SH,20140315,20140314,98.284,0.986,,,98.5571,0
511010.SH,20140318,20140317,98.308,0.986,,,98.5812,0
511010.SH,20140319,20140318,98.186,0.985,,,98.4589,0
511010.SH,20140320,20140319,98.117,0.984,,,98.3897,0
511010.SH,20140321,20140320,98.192,0.985,,,98.4649,0
511010.SH,20140322,20140321,98.232,0.985,,,98.505,0
511010.SH,20140325,20140324,98.197,0.985,,,98.4699,0
511010.SH,20140326,20140325,98.179,0.985,,,98.4518,0
511010.SH,20140327,20140326,98.199,0.985,,,98.4719,0
511010.SH,20140328,20140327,98.26,0.985,,,98.5331,0
511010.SH,20140329,20140328,98.21,0.985,,,98.4829,0
511010.SH,20140401,20140331,98.297,0.986,,786991187.57,98.5702,0
511010.SH,20140402,20140401,98.216,0.985,,,98.4889,0
511010.SH,20140403,20140402,98.157,0.984,,,98.4298,0
511010.SH,20140404,20140403,98.055,0.983,,,98.3275,0
511010.SH,20140405,20140404,98.024,0.983,,,98.2964,0
511010.SH,20140409,20140408,98.122,0.984,,,98.3947,0
511010.SH,20140410,20140409,98.052,0.983,,,98.3245,0
511010.SH,20140411,20140410,98.188,0.985,,,98.4609,0
511010.SH,20140412,20140411,98.236,0.985,,,98.509,0
511010.SH,20140415,20140414,98.397,0.987,,,98.6704,0
511010.SH,20140416,20140415,98.376,0.987,,,98.6494,0
511010.SH,20140417,20140416,98.473,0.988,,,98.7467,0
511010.SH,20140418,20140417,98.754,0.99,,,99.0284,0
511010.SH,20140419,20140418,98.73,0.99,,,99.0044,0
511010.SH,20140422,20140421,98.714,0.99,,,98.9883,0
511010.SH,20140423,20140422,98.732,0.99,,,99.0064,0
511010.SH,20140424,20140423,98.685,0.99,,,98.9592,0
511010.SH,20140425,20140424,98.735,0.99,,,99.0094,0
511010.SH,20140426,20140425,98.763,0.99,,,99.0375,0
511010.SH,20140429,20140428,98.794,0.991,,,99.0685,0
511010.SH,20140430,20140429,98.8,0.991,,,99.0746,0
511010.SH,20140501,20140430,98.811,0.991,,,99.0856,0
511010.SH,20140506,20140505,98.892,0.992,,,99.1668,0
511010.SH,20140507,20140506,99.024,0.993,,,99.2992,0
511010.SH,20140508,20140507,99.16,0.994,,,99.4356,0
511010.SH,20140509,20140508,99.258,0.995,,,99.5338,0
511010.SH,20140510,20140509,99.727,1.0,,,100.0041,0
511010.SH,20140513,20140512,99.649,0.999,,,99.9259,0
511010.SH,20140514,20140513,99.696,1.0,,,99.9731,0
511010.SH,20140515,20140514,99.625,0.999,,,99.9019,0
511010.SH,20140516,20140515,99.558,0.998,,,99.8347,0
511010.SH,20140517,20140516,99.541,0.998,,,99.8176,0
511010.SH,20140520,20140519,99.626,0.999,,,99.9029,0
511010.SH,20140521,20140520,99.591,0.999,,,99.8678,0
511010.SH,20140522,20140521,99.623,0.999,,,99.8999,0
511010.SH,20140523,20140522,99.678,1.0,,,99.955,0
511010.SH,20140524,20140523,99.713,1.0,,,99.9901,0
511010.SH,20140527,20140526,99.754,1.0,,,100.0312,0
511010.SH,20140528,20140527,99.823,1.001,,,100.1004,0
511010.SH,20140529,20140528,100.06,1.003,,,100.3381,0
511010.SH,20140530,20140529,100.183,1.005,,,100.4614,0
511010.SH,20140531,20140530,100.327,1.006,,,100.6058,0
511010.SH,20140604,20140603,100.601,1.009,,,100.8806,0
511010.SH,20140605,20140604,100.766,1.01,,,101.046,0
511010.SH,20140606,20140605,100.637,1.009,,,100.9167,0
511010.SH,20140607,20140606,100.589,1.009,,,100.8685,0
511010.SH,20140610,20140609,100.636,1.009,,,100.9157,0
511010.SH,20140611,20140610,100.706,1.01,,,100.9859,0
511010.SH,20140612,20140611,100.725,1.01,,,101.0049,0
511010.SH,20140613,20140612,100.696,1.01,,,100.9758,0
511010.SH,20140614,20140613,100.634,1.009,,,100.9137,0
511010.SH,20140617,20140616,100.817,1.011,,,101.0972,0
511010.SH,20140618,20140617,100.825,1.011,,,101.1052,0
511010.SH,20140619,20140618,100.767,1.01,,,101.047,0
511010.SH,20140620,20140619,100.732,1.01,,,101.0119,0
511010.SH,20140621,20140620,100.848,1.011,,,101.1283,0
511010.SH,20140624,20140623,100.809,1.011,,,101.0891,0
511010.SH,20140625,20140624,100.854,1.011,,,101.1343,0
511010.SH,20140626,20140625,100.866,1.011,,,101.1463,0
511010.SH,20140627,20140626,100.86,1.011,,,101.1403,0
511010.SH,20140628,20140627,100.826,1.011,,,101.1062,0
511010.SH,20140701,20140630,100.832,1.011,,592517968.46,101.1122,0
511010.SH,20140702,20140701,100.698,1.01,,,100.9778,0
511010.SH,20140703,20140702,100.433,1.007,,,100.7121,0
511010.SH,20140704,20140703,100.333,1.006,,,100.6118,0
511010.SH,20140705,20140704,100.276,1.006,,,100.5547,0
511010.SH,20140708,20140707,100.395,1.007,,,100.674,0
511010.SH,20140709,20140708,100.324,1.006,,,100.6028,0
511010.SH,20140710,20140709,100.358,1.006,,,100.6369,0
511010.SH,20140711,20140710,100.317,1.006,,,100.5958,0
511010.SH,20140712,20140711,100.329,1.006,,,100.6078,0
511010.SH,20140715,20140714,100.286,1.006,,,100.5647,0
511010.SH,20140716,20140715,100.147,1.004,,,100.4253,0
511010.SH,20140717,20140716,99.97,1.003,,,100.2478,0
511010.SH,20140718,20140717,99.722,1.0,,,99.9991,0
511010.SH,20140719,20140718,99.705,1.0,,,99.9821,0
511010.SH,20140722,20140721,99.828,1.001,,,100.1054,0
511010.SH,20140723,20140722,99.898,1.002,,,100.1756,0
511010.SH,20140724,20140723,99.92,1.002,,,100.1977,0
511010.SH,20140725,20140724,99.92,1.002,,,100.1977,0
511010.SH,20140726,20140725,99.98,1.003,,,100.2578,0
511010.SH,20140729,20140728,100.04,1.003,,,100.318,0
511010.SH,20140730,20140729,100.026,1.003,,,100.304,0
511010.SH,20140731,20140730,99.999,1.003,,,100.2769,0
511010.SH,20140801,20140731,100.13,1.004,,,100.4083,0
511010.SH,20140802,20140801,100.164,1.004,,,100.4424,0
511010.SH,20140805,20140804,100.211,1.005,,,100.4895,0
511010.SH,20140806,20140805,100.219,1.005,,,100.4975,0
511010.SH,20140807,20140806,100.217,1.005,,,100.4955,0
511010.SH,20140808,20140807,100.191,1.005,,,100.4694,0
511010.SH,20140809,20140808,100.201,1.005,,,100.4795,0
511010.SH,20140812,20140811,100.227,1.005,,,100.5055,0
511010.SH,20140813,20140812,100.203,1.005,,,100.4815,0
511010.SH,20140814,20140813,100.281,1.006,,,100.5597,0
511010.SH,20140815,20140814,100.469,1.007,,,100.7482,0
511010.SH,20140816,20140815,100.429,1.007,,,100.7081,0
511010.SH,20140819,20140818,100.437,1.007,,,100.7161,0
511010.SH,20140820,20140819,100.296,1.006,,,100.5747,0
511010.SH,20140821,20140820,100.231,1.005,,,100.5095,0
511010.SH,20140822,20140821,100.284,1.006,,,100.5627,0
511010.SH,20140823,20140822,100.294,1.006,,,100.5727,0
511010.SH,20140826,20140825,100.314,1.006,,,100.5928,0
511010.SH,20140827,20140826,100.315,1.006,,,100.5938,0
511010.SH,20140828,20140827,100.47,1.008,,,100.7492,0
511010.SH,20140829,20140828,100.535,1.008,,,100.8144,0
511010.SH,20140830,20140829,100.55,1.008,,,100.8294,0
511010.SH,20140902,20140901,100.576,1.009,,,100.8555,0
511010.SH,20140903,20140902,100.608,1.009,,,100.8876,0
511010.SH,20140904,20140903,100.518,1.008,,,100.7973,0
511010.SH,20140905,20140904,100.545,1.008,,,100.8244,0
511010.SH,20140906,20140905,100.535,1.008,,,100.8144,0
511010.SH,20140910,20140909,100.553,1.008,,,100.8324,0
511010.SH,20140911,20140910,100.437,1.007,,,100.7161,0
511010.SH,20140912,20140911,100.404,1.007,,,100.683,0
511010.SH,20140913,20140912,100.471,1.008,,,100.7502,0
511010.SH,20140916,20140915,100.629,1.009,,,100.9086,0
511010.SH,20140917,20140916,100.607,1.009,,,100.8866,0
511010.SH,20140918,20140917,100.801,1.011,,,101.0811,0
511010.SH,20140919,20140918,101.084,1.014,,,101.3649,0
511010.SH,20140920,20140919,101.417,1.017,,,101.6988,0
511010.SH,20140923,20140922,101.552,1.018,,,101.8342,0
511010.SH,20140924,20140923,101.587,1.019,,,101.8693,0
511010.SH,20140925,20140924,101.435,1.017,,,101.7169,0
511010.SH,20140926,20140925,101.526,1.018,,,101.8081,0
511010.SH,20140927,20140926,101.522,1.018,,,101.8041,0
511010.SH,20140930,20140929,101.625,1.019,,,101.9074,0
511010.SH,20141001,20140930,101.696,1.02,,368777536.94,101.9786,0
511010.SH,20141009,20141008,101.75,1.02,,,102.0328,0
511010.SH,20141010,20141009,101.649,1.019,,,101.9315,0
511010.SH,20141011,20141010,101.675,1.02,,,101.9576,0
511010.SH,20141014,20141013,101.909,1.022,,,102.1922,0
511010.SH,20141015,20141014,102.373,1.027,,,102.6575,0
511010.SH,20141016,20141015,102.721,1.03,,,103.0065,0
511010.SH,20141017,20141016,102.856,1.031,,,103.1418,0
511010.SH,20141018,20141017,103.04,1.033,,,103.3263,0
511010.SH,20141021,20141020,103.309,1.036,,,103.5961,0
511010.SH,20141022,20141021,103.403,1.037,,,103.6904,0
511010.SH,20141023,20141022,103.27,1.036,,,103.557,0
511010.SH,20141024,20141023,103.161,1.034,,,103.4477,0
511010.SH,20141025,20141024,103.14,1.034,,,103.4266,0
511010.SH,20141028,20141027,103.154,1.034,,,103.4407,0
511010.SH,20141029,20141028,103.245,1.035,,,103.5319,0
511010.SH,20141030,20141029,103.345,1.036,,,103.6322,0
511010.SH,20141031,20141030,103.363,1.036,,,103.6502,0
511010.SH,20141101,20141031,103.342,1.036,,,103.6292,0
511010.SH,20141104,20141103,103.664,1.039,,,103.9521,0
511010.SH,20141105,20141104,103.895,1.042,,,104.1837,0
511010.SH,20141106,20141105,104.114,1.044,,,104.4033,0
511010.SH,20141107,20141106,104.093,1.044,,,104.3823,0
511010.SH,20141108,20141107,104.43,1.047,,,104.7202,0
511010.SH,20141111,20141110,104.737,1.05,,,105.0281,0
511010.SH,20141112,20141111,104.848,1.051,,,105.1394,0
511010.SH,20141113,20141112,104.547,1.048,,,104.8375,0
511010.SH,20141114,20141113,104.427,1.047,,,104.7172,0
511010.SH,20141115,20141114,104.152,1.044,,,104.4414,0
511010.SH,20141118,20141117,104.0,1.043,,,104.289,0
511010.SH,20141119,20141118,104.221,1.045,,,104.5106,0
511010.SH,20141120,20141119,104.248,1.045,,,104.5377,0
511010.SH,20141121,20141120,104.065,1.043,,,104.3542,0
511010.SH,20141122,20141121,103.948,1.042,,,104.2369,0
511010.SH,20141125,20141124,104.819,1.051,,,105.1103,0
511010.SH,20141126,20141125,104.64,1.049,,,104.9308,0
511010.SH,20141127,20141126,104.684,1.05,,,104.9749,0
511010.SH,20141128,20141127,104.73,1.05,,,105.021,0
511010.SH,20141129,20141128,104.839,1.051,,,105.1303,0
511010.SH,20141202,20141201,104.862,1.051,,,105.1534,0
511010.SH,20141203,20141202,104.625,1.049,,,104.9158,0
511010.SH,20141204,20141203,104.197,1.045,,,104.4866,0
511010.SH,20141205,20141204,103.858,1.041,,,104.1466,0
511010.SH,20141206,20141205,103.339,1.036,,,103.6262,0
511010.SH,20141209,20141208,103.253,1.035,,,103.5399,0
511010.SH,20141210,20141209,103.293,1.036,,,103.5801,0
511010.SH,20141211,20141210,103.676,1.04,,,103.9641,0
511010.SH,20141212,20141211,103.469,1.037,,,103.7565,0
511010.SH,20141213,20141212,103.455,1.037,,,103.7425,0
511010.SH,20141216,20141215,103.373,1.037,,,103.6603,0
511010.SH,20141217,20141216,103.573,1.039,,,103.8608,0
511010.SH,20141218,20141217,103.811,1.041,,,104.0995,0
511010.SH,20141219,20141218,103.83,1.041,,,104.1185,0
511010.SH,20141220,20141219,104.018,1.043,,,104.3071,0
511010.SH,20141223,20141222,103.988,1.043,,,104.277,0
511010.SH,20141224,20141223,104.199,1.045,,,104.4886,0
511010.SH,20141225,20141224,104.512,1.048,,,104.8024,0
511010.SH,20141226,20141225,104.464,1.047,,,104.7543,0
511010.SH,20141227,20141226,104.494,1.048,,,104.7844,0
511010.SH,20141230,20141229,104.489,1.048,,,104.7794,0
511010.SH,20141231,20141230,104.423,1.047,,,104.7132,0
511010.SH,20150101,20141231,104.412,1.047,,378627162.42,104.7022,0
511010.SH,20150106,20150105,104.482,1.048,,,104.7724,0
511010.SH,20150107,20150106,104.489,1.048,,,104.7794,0
511010.SH,20150108,20150107,104.584,1.049,,,104.8746,0
511010.SH,20150109,20150108,104.548,1.048,,,104.8385,0
511010.SH,20150110,20150109,104.514,1.048,,,104.8044,0
511010.SH,20150113,20150112,104.576,1.049,,,104.8666,0
511010.SH,20150114,20150113,104.837,1.051,,,105.1283,0
511010.SH,20150115,20150114,104.987,1.053,,,105.2788,0
511010.SH,20150116,20150115,104.927,1.052,,,105.2186,0
511010.SH,20150117,20150116,105.248,1.055,,,105.5405,0
